fr,mc,phonetic,cat
bonheur,bunür,,nom
bonhomie,bunumia,,nom
bonhomme,bon omu,,nom
bonjour,bon giurnu,,nom
bonne,scrva,,nom
bonnet,bunetu,,nom
bonsoir,bona sera,,nom
bonté,buntà,,nom
bord,bordu,,nom
bordée,burdada,,nom
bordel,burdelu,,nom
border,burdà,,verbe
bordigue,burdiga,,nom
assemblage de bordigues,burdighera,,nom
bordure,burdüra,,nom
borgne,borni (f. borgnà),,adjectif
bornage (limite),limitaçiun,,nom
bornage (navigation),burnagiu,,nom
borne,limita,,nom
borner,limità,,verbe
se borner,se limità,,verbe
bosse,giba,,nom
bossu,gibusu,,adjectif
botanique,butanicu,,adjectif
botanique,butanica,,nom
botte (touffe),garba,,nom
botte (chaussure),bota,,nom
botte (escrime),bota,,nom
bouc,becu,,nom
boucharde,buciarda,,nom
boucharder,buciardà,,verbe
bouche,buca,,nom
bouchée,bucunà,,nom
bouchée d'air,sf,,autre
boucher,tapà - se boucher,,verbe
boucher,bucè,,nom
boucherie,buciaria,,nom
bouchon,tapu,,nom
boucle,bucla,,nom
boucle d'oreille,pendin,,nom
boucler (fermer),serrà,,verbe
boucler (friser),frisà,,verbe
bouclier,scüu,,nom
bouder,fa u müsu,,verbe
boudin,budin,,nom
boudoir,buduar,,nom
boue,pauta,,nom
bouée,gavitelu,,nom
boueux,pautusu,,adjectif
bouffée,bufada,,nom
bouffée de chaleur,scarmanassu,,nom
bouffer,bufa,,verbe
bouffi,bufiu,,adjectif
bouffon,bufun,,nom
bouffonnerie,bufunada,,nom
bougeoir,canderè,,nom
bouger,bugià,,verbe
bougie,bujia,,nom
bougonner,mugugnà,,verbe
bougre,bugre,,nom
bouillabaisse,buyabaissa,,nom
bouillant,buyente,,adjectif
bouilli,buyiu,,adjectif
bouillie,farinà,,nom
bouillir,buye,,verbe
bouilloire,tupin,,nom
bouillon,brodu,,nom
boulanger,bulangè,,nom
boulangerie,bulangeria,,nom
boule,bula,,nom
boulet,bumba,,nom
bouleversé,stralünau,,adjectif
bouleversement,scciaviramenru,,nom
bouleverser,mete suta suvra,,verbe
boulimie,freve mangiarela,,nom
boulon,bulun,,nom
boulonner,bulunà,,verbe
boulonner ferme,sgümà,,autre
boulonner ferme,rüscà,,autre
bouquet (faisceau),buchetu,,nom
bouquet (crèveue),grossu gambà,,nom
bouquetière,buchctiera,,nom
bouquetin,stambecu,,nom
bouquin,libru,,nom
bourbier,pautassu,,nom
bourdon (insecte),tavan,,nom
bourdon (cloche),grossa campana,,nom
bourdonnement,brunziyu,,nom
bourdonner,zunzunà,,verbe
bourg,burgu,,nom
bourgade,burgada,,nom
bourgeois,burghese,,adjectif
cuisine bourgeoise,cujina de casa,,autre
bourgeoisie,burghesia,,nom
bourgeon,brutu,,nom
bourgeonner,grelà,,verbe
bourlinguer,rulà,,verbe
bourrache,burra iju,,nom
bourrade,burrada,,nom
bourrasque,burrasca,,nom
effet de bourrasque,burrascada,,autre
bourre,burra,,nom
bourreau,boia,,nom
bourrelier,bastè,,nom
bourrer,burrà,,verbe
bourrique,burricu,,nom
bourse,bursa,,nom
sans bourse délier,sença spende ün sou,,autre
boursouflure,gunfiaüra,,nom
bousculade,runsada,,nom
bousculer,runsà,,verbe
bouse,büsa,,nom
bousier,pasta merda,,nom
boussole,bussola,,nom
bout,cavu,,nom
boutade,surlia,,nom
boutargue,butarga,,nom
bouteille,butiya,,nom
boutique,butiga,,nom
boutiquier,butighè,,nom
bouton,butun,,nom
boutonner,butunà,,verbe
se boutonner,se butunà,,verbe
boutonneux,butunusu,,adjectif
boutonnière,butunera,,nom
bouture,butüra,,nom
bouvier,bifurcu,,nom
bouvillon,manzu,,nom
bouvreuil,piva,,nom
boxe,bataya a pügni,,nom
boyau,büelu,,nom
bracelet,braçelctu,,nom
braconner,bracunà,,verbe
braconnier,bracuniè,,nom
braguette,aujelera,,nom
braillement,brayu,,nom
brailler,ganascià,,verbe
braiment,rayu,,nom
braire,rayà,,verbe
branche,branca,,nom
brancher,atacà,,verbe
brandade,brandada,,nom
brandade de stockfisch,brandaminciun,,nom
brandir,brandi,,verbe
branler,scrulà,,verbe
bras,brassu,,nom
brasier,braijè,,nom
brasse,brassa,,nom
brassée,brassà,,nom
brasser,brasà,,verbe
brasserie,brasseria,,nom
brassière,brassera,,nom
bravade,bravada,,nom
brave,valurusu,,adjectif
braver,bravà,,verbe
bravo,bravu,,autre
bravo,aplausu,,nom
bravoure,bravura,,nom
break,brec,,nom
brebis,fea,,nom
brèche,brecia,,nom
bredouiller,üntartayà,,verbe
bref,breve,,adjectif
breloque,barloca,,nom
Brésil,Brasile,,nom
brésilien,brasilian,,adjectif
bretelle,bertela,,nom
breuvage,bevanda,,nom
brevet,brevetu,,nom
breveter,brevetà,,verbe
bréviaire,breviari,,nom
bribe,bregaya,,nom
brick,bric,,nom
brick goélette,briguleta,,autre
bricoler,fa ün pocu de tütu,,verbe
bride,brida,,nom
briser,brisià,,verbe
brièveté,brevità,,nom
brigade,brigada,,nom
brigadier,brigadiè,,nom
brigand,brigante,,nom
brigandage,brigantage,,nom
brigandage,ladruniçia,,nom
brigue.r,brigà,,verbe
brillant,brilante,,nom
briller,brilà,,verbe
brin,pülücu,,nom
brindille,brundiya,,nom
brioche,brioscia,,nom
brique,maun,,nom
briquet,brichctu,,nom
brise,brisa,,nom
briser,scciapà,,verbe
broche,brocia,,nom
broder,brudà,,verbe
broderie,brudaria,,nom
broderie en relief,bigurelu,,nom
brodeur,brudüsu,,nom
bronche,brunchi,,nom
broncher,ünsipà,,verbe
bronchite,brunchita,,nom
bronze,brunzu,,nom
bronzer,brunzà,,verbe
se bronzer,se brunzà,,verbe
brosse,brossa,,nom
passer la brosse,iesse cumplimentusu,,autre
brosser,brossà,,verbe
se brosser,se brossà,,verbe
brouet,brudetu,,nom
sale brouet,sm,,autre
brouette,brueta,,nom
brouettée,bruetà,,nom
brouetter,bruetà,,verbe
brouillamini,garbüyu,,nom
brouillard,garbin,,nom
nappe de brouillard,sf,,autre
brouiller,ümbruyà,,verbe
se brouiller,se facià,,verbe
brouillon,cunfüsu,,adjectif
brouillon,prova,,nom
brouir,negià,,verbe
courgeues brouies (jaunies),sücunoti negiai,,autre
brousse,brussa,,nom
brousse (fromage),sm,,autre
brout,brutu,,nom
brouter,brutà,,verbe
broyer,bregayà,,verbe
bru,bela tiya,,nom
brugnon,brigna,,nom
bruine,bavejin,,nom
bruiner,imp,,verbe
