fr,mc,phonetic,cat
ardu,ardüu,,adjectif
are,aru,,nom
arène,arena,,nom
arénicole,tremurina,,nom
argent (métal),argentu,,nom
argent (numéraire),sou,,nom
argenter,argentà,,verbe
argenterie,argentaria,,nom
argentin,argentin - Argentin,,adjectif
Argentine,Argentina,,nom
argile,arzia,,nom
argot,gergu,,nom
argousin,argusin,,nom
arguer,argüi,,verbe
argument,argümentu,,nom
argumentation,argümentaçiun,,nom
argumenter,argümentà,,verbe
argutie,argüçia,,nom
aride,aî'idu,,adjectif
aridité,aî'idità,,nom
aristocrate,aristucrata,,nom
aristocratie,aristucraçia,,nom
aristocratique,aristucraticu,,adjectif
arithmétique,aritmeticu,,adjectif
arithmétique,aritmetica,,nom
arlequin,arlechin,,nom
arlequinade,arlechinada,,nom
armateur,armatù,,nom
armature,armatüra,,nom
arme,arma,,nom
armée,armada,,nom
armement,armamentu,,nom
armer,armà - s'armer,,verbe
armistice,armistiçi,,nom
armoire,armari,,nom
armoiries,armarie,,nom
armoise,artemisia,,nom
armoise de montagne,ginepi,,nom
armure,armüra,,nom
armurier,armüriè,,nom
arnica,amicà,,nom
aromate,ai'oma,,nom
aromate,ai'umata,,nom
aromatique,ai'umaticu,,adjectif
aromatiser,arumat isà,,verbe
arome,ai'oma,,nom
arquebuse,archebüsu,,nom
arquer,arcà,,verbe
arracher,rancà,,verbe
arrangement,arrangiamentu - sf,,nom
arranger,arrangià,,verbe
s'arranger,s'arrangiâ,,verbe
arrêt,arrestu - sf,,nom
arrêté,decretu,,nom
arrêter,arrestà,,verbe
s'arrêter,s'arrestà,,verbe
arrhes,caparra,,nom
arrière,darrè,,adjectif
arrière (navire),pupa,,nom
arrivée,arrivu,,nom
arriver,arrivà,,verbe
arriviste,arrivista,,nom
arroc he,arroca - sm,,nom
arrogance,arrugança,,nom
arrogant,arrugante,,adjectif
arroger (s'),s'arrugà,,verbe
arrondir,arrundi,,verbe
s'arrondir,s'arrundì,,verbe
arrondissement,circundari,,nom
arrosable,arrusabile,,adjectif
terrain arrosable,aigaressu,,autre
arrosage,aigage,,nom
arroser,aigà,,verbe
arroseur,arrosoir,,nom
arsenal,arsenale,,nom
arsenic,arsenicu,,nom
art,arte,,nom
artère,artera,,nom
artichaut,arcicotu - pied d'artichaut,,nom
article,articulu,,nom
articulaire,articülare,,adjectif
articulation (prononciation),articülaçiun,,nom
articuler,articülà - s'articuler,,verbe
artifice,artifiçi,,nom
les feux d'artifice,i fœghi,,autre
artificiel,artifiçiale,,adjectif
artificiellement,artifiçialamente,,adjectif
artificieux,artifiçiusu,,adjectif
artillerie,artiyaria,,nom
artilleur,artiyè,,nom
artimon,artimun,,nom
artiste,artista,,nom
artistique,artisticu,,adjectif
arum,pendeporcu,,nom
as,assu,,nom
ascendance,ascendença,,nom
ascendant,ascendente,,nom
ascenseur,ascensù,,nom
ascension,ascensiun - Ascension,,nom
ascète,asceta,,nom
ascétique,asceticu,,adjectif
ascétisme,ascetismu,,nom
asiatique,asiaticu - Asiatique,,adjectif
Asie,Asia,,nom
asile,asilu,,nom
