fr,mc,phonetic,cat
acrobatique,acruba ticu,,adjectif
acte,atu,,nom
acteur,atù,,nom
actif,ativu,,adjectif
action,açiun,,nom
action en bourse,sm,,autre
actionnaire,açiunari,,nom
actionner,açiunà,,verbe
activer,ativà,,verbe
activité,atività,,nom
actualité,atüalità,,nom
actuel,atüale,,adjectif
actuellement,atüalamente,,adjectif
acuité,acüità,,nom
adage,pruverbi,,nom
Adam,Adamu,,nom
adaptation,adataçiun,,nom
adapter,adatà,,verbe
s'adapter au milieu,s'ambicntà,,autre
addition,adiçiun,,nom
additionner,adiçiunà,,verbe
adhérence,adcrença,,nom
adhérent,aderente,,adjectif
adhérer,aderl,,verbe
adhésif,adesivu,,adjectif
adhésion,adesiun,,nom
adieu,interj,,nom
adjectif,agetivu,,nom
adjudication,agiüdicaçiun,,nom
adjuger,agiüdicà,,verbe
admettre,amete,,verbe
administrateur,aministratù,,nom
administratif,aministrativu,,adjectif
administration,aministraçiun,,nom
administré,aministrau,,adjectif
administrer,aministrà,,verbe
administrer,guvernà,,verbe
admirable,amirabile,,adjectif
admirateur,amiratù,,nom
admiratif,amirativu,,adjectif
admiration,amiraçiun,,nom
admirer,amirà,,verbe
admirer,mirà,,verbe
admissible,amisstbile,,adjectif
admission,amissiun,,nom
admonestation,amunestaçiun,,nom
admonester,amunestà,,verbe
adolescence,adulesccnça,,nom
adolescent,adulescente,,adjectif
adopter,adutà,,verbe
adoptif,adutivu,,adjectif
adoption,aduçiun,,nom
adorable,adurabile,,adjectif
adoration,aduraçiun,,nom
adorer,adurà,,verbe
adosser (s'),se mete a redossu,,verbe
adouber,adubà,,verbe
adoucir,aduçi,,verbe
s'adoucir,s'aduçi,,verbe
adoucissement,aduçimentu,,nom
adresse (lieu),adressa • adresse (dextérité),,nom
adresser,adressà,,verbe
s'adresser,s'adressà,,verbe
s'adresser,se riferi,,verbe
adret,adretu,,nom
adroit,adretu,,adjectif
adulation,adülaçiun,,nom
aduler,adülà,,verbe
adulte,adültu,,nom
adultère,adültcri,,nom
adultérer,adülterà,,verbe
advenir,capità,,verbe
adverbe,averbi,,nom
adverbial,averbiale,,adjectif
adversaire,avcrsari,,nom
adversité,aversità,,nom
aération,aeraçiun,,nom
aérer,aerà,,verbe
aérien,aereu,,adjectif
aéroport,aeruportu,,nom
affabilité,afabilità,,nom
affable,afabile,,adjectif
affaiblir,ündebuli - s'affaiblir,,verbe
affaiblissement,ündebulimentu,,nom
affaire,facenda,,nom
affairé,facendau,,adjectif
affairer (s'),s'afacendà,,verbe
affairiste,afarista,,nom
affaler,afalà,,verbe
s'affaler,s'afalà,,verbe
affamé,afamau,,adjectif
affamer,afamà,,verbe
affectation,afetaçiun,,nom
affecter (émouvoir),afetà,,verbe
affecter (jèindre),fatinta,,verbe
affectif,afetivu,,adjectif
affection,afeçiun,,nom
affectionner,afeçiunà,,verbe
affectueux,afetüusu,,adjectif
affermir,cunsulidà,,verbe
affiche,aficia,,nom
affiche,cartelu,,nom
afficher,aficià,,verbe
s'afficher,se dà lin spectaculu,,verbe
affiliation,afiliaçiun,,nom
affilier,afilià,,verbe
s'affilier,s'afilià,,verbe
affinité,afinità,,nom
affirmatif,afirmativu,,adjectif
affirmation,a firmaçiun,,nom
affirmer,afirmà,,verbe
s'affirmer,s'afirmà,,verbe
affliction,afliçiun,,nom
affligé,a flitu,,adjectif
affliger,afligià,,verbe
