fr,mc,phonetic,cat
* mer,mar,,nom
* merci,rengraçiamentu,,nom
merci,graçia,,nom
merdeux,merdassiè,,adjectif
merlan,naselu,,nom
mérou,sf,,nom
* merveille,sm. miraculu,,nom
*mésange,sm,,nom
mésaventure,sm. açidente,,nom
mésestimer,desestimà,,verbe
mesquin,meschin,,adjectif
message,sf letra,,nom
messager,nunçiu,,nom
messire,don,,nom
* mesurer,carcillà - se mesu- rer,,verbe
métairie,mesaria,,nom
métaphysique,sf metafisica,,adjectif
métayer,meteiè,,nom
météore,sf,,nom
mètre,metru,,nom
métrique,sf metrica,,adjectif
mets,s.f,,nom
* mettre,vpr. se,,verbe
meubler,urnà - se meubler,,verbe
(amas),sm,,nom
meunier,murinà,,nom
meurtre,umicidi,,nom
meurtrier,sf,,adjectif
meurtrir,feri,,verbe
meurtrissure,maca,,nom
meute,sm,,nom
mexicain,n,,adjectif
miche,mica,,nom
fruit du. micocoulier,fabrecura,,autre
miel,sf,,nom
miette,briga,,nom
mieux,a.sm. meyu,,adjectif
migraine,sm. ma de testa,,nom
mildiou,sf,,nom
* milieu,mitan,,nom
militaire,sm. militari,,adjectif
mille,sm. miya,,adjectif
mille-pattes,sf,,nom
mille-pertuis,sfp/,,nom
milliaire,miyara,,adjectif
milliardaire,s,,adjectif
millimètre,milimetru,,nom
*mine (apparence),ghigna • mine (gisement),,nom
miner,scavà - se miner,,verbe
mineur (moindre),minurene - ordres mineurs,,adjectif
minorité,minurità,,nom
minuit,sf,,nom
minuscule,sf,,adjectif
minutie,scrüpülusità,,nom
mirabelle,mirabela,,nom
miracle,miraculu,,nom
miraculeux,purtentusu,,adjectif
misanthropie,misantrupia,,nom
misérable,meschin,,adjectif
* misère,indigença,,nom
*miséricorde,pietà,,nom
miséricordieux,pietusu,,adjectif
mission,sm. üncargu,,nom
mitaine,pl,,nom
mite,camura,,nom
miter (se),se camurà,,verbe
mitiger,temperà,,verbe
mixture,mescciüra,,nom
mobile,motif),,adjectif
mobilier,sm. mubilia,,adjectif
mobilité,incunstança,,nom
mode,sf manera • mode,,nom
modeler,façunà - se modeler,,verbe
modérer,temperà - se modérer,,verbe
moderniser,remudernà,,verbe
modeste,simpliciu •,,adjectif
Modeste,nf Mudestina,,nom
modestie,mudestia,,nom
modifier,vpr,,verbe
modiste,mudista,,nom
modulation,mudülaçiun,,nom
moelleux,abucante,,nom
mœurs,sm.pl. custümi,,nom
moindre,u minimu; u ciü picenin,,adjectif
* moine,fra,,nom
*moins,sf rebasci,,adjectif
moisi,sm. mufiu,,adjectif
moisir,vpr. se mufi,,verbe
moissonner,se~à,,verbe
moissonneur,misciunè,,nom
*moitié,mesa,,nom
molaire,cascelà,,nom
môle,molu,,nom
molester,inqietà,,verbe
mollet,purpassu d'a gamba • mollet,,nom
* moment,instante,,nom
* mon,fsing. a mea ; mes,,adjectif
* monde,üniversu,,nom
* monégasque,n. Munegascu,,adjectif
* monopole,privativa,,nom
monotone,munotunu,,adjectif
monsieur,sciü inv,,nom
monstruosité,afrusità,,nom
montant,ertu • montant,,adjectif
Monte-Carlo,Munte Carlu,,nom
montée,muntà,,nom
monter,muntà,,verbe
se monter,se muntà,,verbe
montre (horloge),sm. relœri,,nom
• montre (exposition),es- pusiçiun,,nom
* montrer,esibi,,verbe
moquer (se),se güsà,,verbe
moquerie,minciunada,,nom
moquette,sm. tapissu,,nom
* morceau,peçu,,nom
mordant,causticu • mor- dant,,adjectif
mordre,vpr. se,,verbe
morne,fuscu,,adjectif
morpion,sf ciatela,,nom
* mort,a.s. mortu,,nom
mortier (canon),sm. murtà,,nom
mortification,pcnitcnça,,nom
mortifier,ümilià - se,,verbe
mortifier,se castigà,,verbe
morve,oarvelu,,nom
