fr,mc,phonetic,cat
endroit,lœgu,,nom
enduire,recrœve,,verbe
enduire,ümpastà,,verbe
endurcir,ündüri,,verbe
s'endurcir,s'ündüri,,verbe
endurcissement,ündürimentu,,nom
endurer,sübl,,verbe
endurer,sufre,,verbe
énergie,energia,,nom
énergie,força,,nom
énergique,energicu,,adjectif
énergumène,energümcnu,,nom
énergumène,ündemuniau,,nom
énervement,enervamentu,,nom
énerver,enervà,,verbe
s'énerver,s'enervà,,verbe
enfance,ünfança,,nom
enfant,fiyœ,,nom
enfant,piciuna,,nom
enfantement,partu,,nom
enfanter,parturi,,verbe
enfariner,farinà,,verbe
enfariner,ünfarinà,,verbe
s'enfariner,s'ünfarinà,,verbe
enfer,infernu,,nom
enfermer,serrà,,verbe
enfermer,internà,,verbe
s'enfermer,se serrà,,verbe
enfilade,ünfilada,,nom
enfilade,filsa,,nom
enfilade,ünfilà,,verbe
enfin,ünfin,,adjectif
enflammer,ünsciamà,,verbe
enflammer,acalurà,,verbe
s'enflammer,s'acalurà,,verbe
enfler,icnsce,,verbe
enfler à nouveau,renscie,,autre
s'enfler,gunfià,,verbe
enflure,gunfiaüra,,nom
enflure,badola,,nom
enfoncement,ünfunçamentu,,nom
enfoncer (planter / ficher),ünfunçà,,verbe
enfoncer (aller au fond),sprefundà,,verbe
s'enfoncer,se sprefundà,,verbe
enfouir,suterrà,,verbe
enfourcher,ünfurcà,,verbe
enfourner,ünfurnà,,verbe
s'enfourner,s'ünfumà,,verbe
enfuir (s'),scapà,,verbe
enfumer,fümigà,,verbe
engagé,a,,autre
engagement,üngagiamentu,,nom
engager (meurer ou donner en gage,v,,autre
engager (commencer),cumençà,,verbe
s'engager,s'ungagia,,verbe
engeance,prugenia,,nom
engelure,tignœra,,nom
engendrer,generà,,verbe
engerber,üngarbà,,verbe
engin,inzegni,,nom
englober,ünglubà,,verbe
englouti,a,,autre
engloutir (avaler),avalà,,verbe
engloutir (submerger),sümerge,,verbe
s'engloutir,se sprefundà,,verbe
engluement,ünviscada - sj,,nom
s'engluer,s'ünviscà,,verbe
engorger,üngurgà - s'engorger,,verbe
engouement,voga - sj,,nom
s'engouffrer,s'ünabiscià,,verbe
engourdir,abaciücà - s'engourdir,,verbe
engrais,lcame - sj,,nom
engraisser,üngrascià,,verbe
s'engraisser,s'üngrascià,,verbe
engrenage,üngranage,,nom
engueuler,canlà r'anlifuna,,verbe
s'engueuler,s'ingiürià,,verbe
enguirlander,ünghirlandà,,verbe
énigmatique,enigmaticu,,adjectif
énigme,enigma,,nom
enivrer,ümbriagà,,verbe
s'enivrer,s'ümbriagà,,verbe
enjamber,scavalcà,,verbe
enjoindre,impusà,,verbe
enjôler,ümbabuinà,,verbe
enlacer,üntressà,,verbe
s'enlacer,s'üntressà,,verbe
enlaidir,ünlaidi,,verbe
s'enlaidir,se detürpà,,verbe
enlèvement,rapimentu,,nom
enlever (retirer),levà,,verbe
enlever (emporter,v,,autre
s'enlever,se sulevà per aria,,verbe
enliser (s'),s'arenà,,verbe
enluminer,ünlüminà,,verbe
ennemi,nemigu,,adjectif
ennoblir,nubli,,verbe
ennui,fastidi,,nom
ennuyer,anüià,,verbe
s'ennuyer,s'anüià,,verbe
ennuyeux,nüiusu,,adjectif
ennuyeux,bulicuye,,adjectif
énoncé,cnunçiau,,nom
énoncer,enunçià,,verbe
enorgueillir,ünsüperbi,,verbe
s'enorgueillir,s'ünsüperbi,,verbe
énorme,enorme,,adjectif
énormément,enurmamente,,adjectif
énormité,cnurmità,,nom
dire des énormités,e di grosse,,autre
enquête,inqiesta,,nom
enquête,inchiesta,,nom
enquêter,inqiestà,,verbe
enraciner,ünraçinà,,verbe
s'enraciner,s'ünraçinà,,verbe
enrager,ünragià,,verbe
s'enrager,s'ünragià,,verbe
enregistrement,ünregistramentu - sf,,nom
enregistrer,ünregistrà,,verbe
enrhumer,üncatarrà,,verbe
s'enrhumer,s'uncatarrà,,verbe
enrichir,arrichi,,verbe
s'enrichir,s'arrichi,,verbe
enrichissement,arrichimentu,,nom
enrober,reveste,,verbe
enrôlement,ünrulamentu,,nom
enrôler,ünrulà,,verbe
s'enrôler,s'ünrulà,,verbe
enroué,raucu,,adjectif
enrouer (s'),s'ünrauchl,,verbe
enrouler,angüyà,,verbe
s'enrouler,s'angüyà,,verbe
ensabler (s'),s'arenà,,verbe
ensacher,ünsacà,,verbe
ensanglanter,ünsanghinà,,verbe
enseignant,ünsegnante,,adjectif
enseigne,ensigna,,nom
enseignement,ünsegnamentu,,nom
enseigner,ünsegnà,,verbe
ensemble,ünseme - sm,,adjectif
ensevelir,suterrà,,verbe
ensoleillé,ünsuriyau,,adjectif
ensoleiller,ünsuriyà,,verbe
ensorceler,ünmascà,,verbe
ensorceleur,fascinante - s,,adjectif
ensuite,pœi,,adjectif
ensuivre (s'),cunseghe,,verbe
entacher,tacà,,verbe
entaille,tayu - sm,,nom
entailler,üntayà,,verbe
entamer (couper),üntamenà,,verbe
entamer (commencer),cumençà,,verbe
entasser,acampà,,verbe
entasser le foin,stivà,,autre
s'entasser,s'amurunà,,verbe
entendement,üntendimentu - sf,,nom
entendeur,üntenditù,,nom
entendre (ouïr),sente,,verbe
entendre (comprendre),üntende,,verbe
entendre (prétendre),pretende,,verbe
s'entendre,s'üntende,,verbe
entendu,a,,autre
entente,üntesa,,nom
enterrement,ünterru,,nom
enterrer,suterrà,,verbe
s'enterrer,s'ünterrà,,verbe
en-tête,üntestaçiun - sf,,nom
entêté,testun,,adjectif
entêtement,testardaria - sf,,nom
entêter,dà a testa,,verbe
s'entêter,s'üncapuni,,verbe
