fr,mc,phonetic,cat
distraire,distrà,,verbe
distrait,distrau,,adjectif
distribuer,distribüi,,verbe
distributeur,distribütù,,nom
distribution,distribüçiun,,nom
dit,a,,autre
diurétique,sm,,adjectif
diurne,diürnu,,adjectif
divagation,divagaçiun,,nom
divaguer,divagà,,verbe
divergence,divergença,,nom
divergent,divergente,,adjectif
divers,diversu,,adjectif
diversifier,diversificà,,verbe
diversion,diversiun,,nom
diversité,diversità,,nom
diverticule,diverticülu,,nom
divertir,diverti,,verbe
divertissement,diversion,,nom
divination,divinaçiun,,nom
diviniser,divinisà,,verbe
divinité,divinità,,nom
diviser,divisà,,verbe
diviseur,divisù,,nom
divisible,divisibile,,adjectif
division,divisiun,,nom
divorce,divorçi,,nom
divorcé,a.s,,autre
divorcer,divurçà,,verbe
divulgation,divülgaçiun,,nom
divulguer,divülgà,,verbe
dix,num,,adjectif
dizaine,deijena,,nom
docilité,ducilità,,nom
docker,camalu,,nom
docteur,medicu,,nom
doctoral,duturale,,adjectif
doctorat,duturatu,,nom
doctrine,dutrina,,nom
document,ducürnentu,,nom
documentaire,sm,,adjectif
documentation,ducümentaçiun,,nom
documenter,ducümentà,,verbe
dogmatique,dugmaticu,,adjectif
dogme,dogma,,nom
doigt,diu,,nom
doigté,garibu,,nom
doléance,duleança,,nom
dolent,dulente,,adjectif
domaine,demaniu,,nom
dôme,domu,,nom
domestique,dumestegu,,adjectif
domestiquer,dumestegà,,verbe
domicile,dumic11iu,,nom
domicilier,dumiçilià,,verbe
domination,duminaçiun,,nom
dominer,duminà,,verbe
dominical,duminicale,,adjectif
dommage,danu,,nom
dompter,dumà,,verbe
don,donu,,nom
donateur,dunatù,,nom
donation,dunaçiun,,nom
donc,dunca,,particule
donjon,dungiun,,nom
donnée,dati,,nom
donner,dà,,verbe
dont,rel,,pronom
dorénavant,d'aura ünlà,,adjectif
dorer,durà,,verbe
doreur,ilnduratù,,nom
dormir,dorme,,verbe
Dorothée,Durutea,,nom
dortoir,durmitori,,nom
dos,schina,,nom
dose,dosa,,nom
doser,dusà,,verbe
dossier,schinà,,nom
dossière,dussera,,nom
dot,dota,,nom
dotal,dltale,,adjectif
dotation,dutaçiun,,nom
doter,dutà,,verbe
douane,duana,,nom
douanier,sm,,adjectif
double,sm,,adjectif
doublé,a,,autre
doubler,dugià,,verbe
doublet,dugietu,,nom
doublure,dublüra,,nom
douce-amère,dulcamara,,nom
doucement,cun duçù,,adjectif
douceur,duçù,,nom
douche,ducia,,nom
douleur,durù,,nom
douloureux,dulurusu,,adjectif
doute,dûbiu,,nom
douter,tlübilà,,verbe
douve,duga,,nom
doux,sucré,,adjectif
douzaine,duzena,,nom
doyen,decan,,nom
dragées,sm,,autre
dragon,dragun,,nom
dragonne,draguna,,nom
drague,draga,,nom
draguer,dragà,,verbe
dramatique,dramaticu,,adjectif
dramatiser,dramatisà,,verbe
drame,drama,,nom
drap,drapu,,nom
drapeau,drapeu,,nom
draper,drapà,,verbe
draperie,draparia,,nom
dresser,drissà,,verbe
drogue,droga,,nom
droguer,drugà,,verbe
droguerie,drugaria,,nom
droguiste,drughista,,nom
droit,dritu,,nom
droite,drita,,nom
droiture,integrità,,nom
drôle,drolu,,adjectif
drôlerie,drularia,,nom
dromadaire,drumadari,,nom
dru,drüu,,adjectif
du,art. contracté,,particule
dualisme,düalismu,,nom
dubitatif,dübitativu,,adjectif
duc,düca,,nom
ductilité,dütilità,,nom
duel,düelu,,nom
dulcinée,duçina,,nom
duo,düetu,,nom
dupe,sf,,adjectif
duper,ümbruyà,,verbe
duperie,ümbroyu,,nom
duplicité,düplicità,,nom
duquel,du qale,,pronom
dur,ad,,adjectif
durant,dürante,,particule
durcir,ündüri,,verbe
durée,dürada,,nom
durer,dürà,,verbe
dureté,düressa,,nom
durillon,düriyun,,nom
duvet,düvè,,nom
dynamique,dinamicu,,adjectif
dynamite,dinamita,,nom
dynamo,dinamô,,nom
dynastie,dinastia,,nom
